cp	max_depth	min_split	min_bucket	ganancia_promedio
-7	10	30	15	38180000
-7	10	40	20	37550000
-7	10	50	25	36940000
-7	10	60	30	35670000
-7	10	70	35	33670000
-7	10	80	40	32720000
-7	10	100	50	37760000
-7	10	200	100	42950000
-7	10	300	150	42030000
-7	10	400	200	47530000
-7	10	500	250	46740000
-7	10	600	300	45680000
-7	10	700	350	46150000
-7	10	800	400	47490000
-7	10	900	450	44930000
-7	10	1000	500	47430000
-7	10	1100	550	49450000
-7	10	1200	600	49390000
-7	10	1500	750	46580000
-7	10	2000	1000	47910000
-7	11	10	5	39660000
-7	11	20	10	37770000
-7	11	30	15	34750000
-7	11	40	20	35020000
-7	11	50	25	29280000
-7	11	60	30	30040000
-7	11	70	35	28590000
-7	11	80	40	28430000
-7	11	100	50	34530000
-7	11	200	100	41530000
-7	11	300	150	42650000
-7	11	400	200	47430000
-7	11	500	250	45780000
-7	11	600	300	44150000
-7	11	700	350	44530000
-7	11	800	400	47490000
-7	11	900	450	44930000
-7	11	1000	500	47430000
-7	11	1100	550	49450000
-7	11	1200	600	49390000
-7	11	1500	750	46580000
-7	11	2000	1000	47910000
-6	5	10	5	44750000
-6	5	20	10	44750000
-6	5	30	15	43380000
-6	5	40	20	42960000
-6	5	50	25	42660000
-6	5	60	30	43320000
-6	5	70	35	43320000
-6	5	80	40	43320000
-6	5	100	50	43020000
-6	5	200	100	45420000
-6	5	300	150	45820000
-6	5	400	200	46530000
-6	5	500	250	46530000
-6	5	600	300	46450000
-6	5	700	350	45930000
-6	5	800	400	45930000
-6	5	900	450	45670000
-6	5	1000	500	45140000
-6	5	1100	550	46140000
-6	5	1200	600	46080000
-6	5	1500	750	44790000
-6	5	2000	1000	47910000
-6	6	10	5	44810000
-6	6	20	10	45450000
-6	6	30	15	45670000
-6	6	40	20	44800000
-6	6	50	25	44260000
-6	6	60	30	45150000
-6	6	70	35	45140000
-6	6	80	40	45080000
-6	6	100	50	44890000
-6	6	200	100	49450000
-6	6	300	150	47540000
-6	6	400	200	47430000
-6	6	500	250	47430000
-6	6	600	300	47880000
-6	6	700	350	48780000
-6	6	800	400	49020000
-6	6	900	450	47830000
-6	6	1000	500	47720000
-6	6	1100	550	48720000
-6	6	1200	600	48660000
-6	6	1500	750	46580000
-6	6	2000	1000	47910000
-6	7	10	5	4.8e+07
-6	7	20	10	47860000
-6	7	30	15	48520000
-6	7	40	20	46530000
-6	7	50	25	42550000
-6	7	60	30	42400000
-6	7	70	35	41550000
-6	7	80	40	42150000
-6	7	100	50	45670000
-6	7	200	100	46920000
-6	7	300	150	44360000
-6	7	400	200	46190000
-6	7	500	250	46190000
-6	7	600	300	46190000
-6	7	700	350	46750000
-6	7	800	400	49020000
-6	7	900	450	47830000
-6	7	1000	500	46700000
-6	7	1100	550	48720000
-6	7	1200	600	48660000
-6	7	1500	750	46580000
-6	7	2000	1000	47910000
-6	8	10	5	48670000
-6	8	20	10	43150000
-6	8	30	15	41840000
-6	8	40	20	38080000
-6	8	50	25	38180000
-6	8	60	30	38710000
-6	8	70	35	39520000
-6	8	80	40	39600000
-6	8	100	50	38240000
-6	8	200	100	41510000
-6	8	300	150	43210000
-6	8	400	200	47150000
-6	8	500	250	47980000
-6	8	600	300	47510000
-6	8	700	350	48020000
-6	8	800	400	50540000
-6	8	900	450	47830000
-6	8	1000	500	47430000
-6	8	1100	550	49450000
-6	8	1200	600	49390000
-6	8	1500	750	46580000
-6	8	2000	1000	47910000
-6	9	10	5	47280000
-6	9	20	10	40530000
-6	9	30	15	38480000
-6	9	40	20	37110000
-6	9	50	25	38080000
-6	9	60	30	39400000
-6	9	70	35	38110000
-6	9	80	40	36740000
-6	9	100	50	40810000
-6	9	200	100	43440000
-6	9	300	150	43810000
-6	9	400	200	48310000
-6	9	500	250	46730000
-6	9	600	300	46430000
-6	9	700	350	46910000
-6	9	800	400	49150000
-6	9	900	450	46310000
-6	9	1000	500	47430000
-6	9	1100	550	49450000
-6	9	1200	600	49390000
-6	9	1500	750	46580000
-6	9	2000	1000	47910000
-6	10	10	5	42440000
-6	10	20	10	41190000
-6	10	30	15	38180000
-6	10	40	20	37550000
-6	10	50	25	36940000
-6	10	60	30	35670000
-6	10	70	35	33670000
-6	10	80	40	32720000
-6	10	100	50	37760000
-6	10	200	100	42950000
-6	10	300	150	42030000
-6	10	400	200	47530000
-6	10	500	250	46740000
-6	10	600	300	45680000
-6	10	700	350	46150000
-6	10	800	400	47490000
-6	10	900	450	44930000
-6	10	1000	500	47430000
-6	10	1100	550	49450000
-6	10	1200	600	49390000
-6	10	1500	750	46580000
-6	10	2000	1000	47910000
-6	11	10	5	39660000
-6	11	20	10	37770000
-6	11	30	15	34750000
-6	11	40	20	35020000
-6	11	50	25	29280000
-6	11	60	30	30040000
-6	11	70	35	28590000
-6	11	80	40	28430000
-6	11	100	50	34530000
-6	11	200	100	41530000
-6	11	300	150	42650000
-6	11	400	200	47430000
-6	11	500	250	45780000
-6	11	600	300	44150000
-6	11	700	350	44530000
-6	11	800	400	47490000
-6	11	900	450	44930000
-6	11	1000	500	47430000
-6	11	1100	550	49450000
-6	11	1200	600	49390000
-6	11	1500	750	46580000
-6	11	2000	1000	47910000
-5	5	10	5	44750000
-5	5	20	10	44750000
-5	5	30	15	43380000
-5	5	40	20	42960000
-5	5	50	25	42660000
-5	5	60	30	43320000
-5	5	70	35	43320000
-5	5	80	40	43320000
-5	5	100	50	43020000
-5	5	200	100	45420000
-5	5	300	150	45820000
-5	5	400	200	46530000
-5	5	500	250	46530000
-5	5	600	300	46450000
-5	5	700	350	45930000
-5	5	800	400	45930000
-5	5	900	450	45670000
-5	5	1000	500	45140000
-5	5	1100	550	46140000
-5	5	1200	600	46080000
-5	5	1500	750	44790000
-5	5	2000	1000	47910000
-5	6	10	5	44810000
-5	6	20	10	45450000
-5	6	30	15	45670000
-5	6	40	20	44800000
-5	6	50	25	44260000
-5	6	60	30	45150000
-5	6	70	35	45140000
-5	6	80	40	45080000
-5	6	100	50	44890000
-5	6	200	100	49450000
-5	6	300	150	47540000
-5	6	400	200	47430000
-5	6	500	250	47430000
-5	6	600	300	47880000
-5	6	700	350	48780000
-5	6	800	400	49020000
-5	6	900	450	47830000
-5	6	1000	500	47720000
-5	6	1100	550	48720000
-5	6	1200	600	48660000
-5	6	1500	750	46580000
-5	6	2000	1000	47910000
-5	7	10	5	4.8e+07
-5	7	20	10	47860000
-5	7	30	15	48520000
-5	7	40	20	46530000
-5	7	50	25	42550000
-5	7	60	30	42400000
-5	7	70	35	41550000
-5	7	80	40	42150000
-5	7	100	50	45670000
-5	7	200	100	46920000
-5	7	300	150	44360000
-5	7	400	200	46190000
-5	7	500	250	46190000
-5	7	600	300	46190000
-5	7	700	350	46750000
-5	7	800	400	49020000
-5	7	900	450	47830000
-5	7	1000	500	46700000
-5	7	1100	550	48720000
-5	7	1200	600	48660000
-5	7	1500	750	46580000
-5	7	2000	1000	47910000
-5	8	10	5	48670000
-5	8	20	10	43150000
-5	8	30	15	41840000
-5	8	40	20	38080000
-5	8	50	25	38180000
-5	8	60	30	38710000
-5	8	70	35	39520000
-5	8	80	40	39600000
-5	8	100	50	38240000
-5	8	200	100	41510000
-5	8	300	150	43210000
-5	8	400	200	47150000
-5	8	500	250	47980000
-5	8	600	300	47510000
-5	8	700	350	48020000
-5	8	800	400	50540000
-5	8	900	450	47830000
-5	8	1000	500	47430000
-5	8	1100	550	49450000
-5	8	1200	600	49390000
-5	8	1500	750	46580000
-5	8	2000	1000	47910000
-5	9	10	5	47280000
-5	9	20	10	40530000
-5	9	30	15	38480000
-5	9	40	20	37110000
-5	9	50	25	38080000
-5	9	60	30	39400000
-5	9	70	35	38110000
-5	9	80	40	36740000
-5	9	100	50	40810000
-5	9	200	100	43440000
-5	9	300	150	43810000
-5	9	400	200	48310000
-5	9	500	250	46730000
-5	9	600	300	46430000
-5	9	700	350	46910000
-5	9	800	400	49150000
-5	9	900	450	46310000
